name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,humidity,precip,windgust,windspeed,cloudcover,description,icon
NgheAn,2018-01-13,17.1,12.6,15.4,17.1,12.6,15.4,75.6,0.6,36,19.4,93.1,Cloudy skies throughout the day with late afternoon rain,rain
NgheAn,2018-01-14,18.5,14.6,16.8,18.5,14.6,16.8,82.6,0.7,35.3,17.6,99.9,Cloudy skies throughout the day with rain,rain
NgheAn,2018-01-15,19.7,16.1,17.9,19.7,16.1,17.9,87.8,0.8,23.8,12.6,97.7,Cloudy skies throughout the day with rain clearing later.,rain
NgheAn,2018-01-16,21.6,14.2,18.3,21.6,14.2,18.3,93,0.1,19.8,10.8,87.8,Partly cloudy throughout the day with late afternoon rain,rain
NgheAn,2018-01-17,22.2,17.6,19.6,22.2,17.6,19.6,93.3,0.4,17.3,7.9,86.7,Partly cloudy throughout the day with early morning rain,rain
NgheAn,2018-01-18,23.2,17.2,19.7,23.2,17.2,19.7,92.2,0,19.4,9.7,93.4,Cloudy skies throughout the day,cloudy
NgheAn,2018-01-19,22.4,18.2,20,22.4,18.2,20,90.1,0,27,14.4,70.7,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-01-20,22.7,18.6,20.3,22.7,18.6,20.3,91.3,0,20.9,14.4,85.5,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-01-21,21.8,18.9,20.5,21.8,18.9,20.5,94.1,0.3,19.1,9.7,96.2,Cloudy skies throughout the day with rain,rain
NgheAn,2018-01-22,22.7,19.7,20.7,22.7,19.7,20.7,96.8,0.5,25.6,12.2,88.4,Partly cloudy throughout the day with rain in the morning and afternoon,rain
NgheAn,2018-01-23,23.7,19.4,21.1,23.7,19.4,21.1,92.1,0.1,23,11.9,75.1,Partly cloudy throughout the day with afternoon rain,rain
NgheAn,2018-01-24,25.7,20.1,22.3,25.7,20.1,22.3,91.6,0.1,26.3,15.8,68.3,Partly cloudy throughout the day with afternoon rain,rain
NgheAn,2018-01-25,27.1,20.2,22.7,28.8,20.2,22.8,92.1,0,28.4,14.8,76.5,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-01-26,26.1,21.4,22.8,26.1,21.4,22.8,92.4,1.6,30.6,17.3,82.1,Partly cloudy throughout the day with rain,rain
NgheAn,2018-01-27,24.6,20.7,22.4,24.6,20.7,22.4,93.3,0.4,34.9,19.1,92.4,Cloudy skies throughout the day with morning rain,rain
NgheAn,2018-01-28,25.7,18.2,22.3,25.7,18.2,22.3,92.8,0.2,53.6,26.6,90.7,Cloudy skies throughout the day with late afternoon rain,rain
NgheAn,2018-01-29,16.7,13.3,14.5,16.7,13.3,14.5,83.6,2.8,48.2,28.1,99.7,Cloudy skies throughout the day with rain,rain
NgheAn,2018-01-30,14.4,11.2,12.9,14.4,11.2,12.9,84,0.1,34.6,20.9,100,Cloudy skies throughout the day with afternoon rain,rain
NgheAn,2018-01-31,13.9,11.6,12.8,13.9,11.6,12.8,82.4,2.4,43.6,24.8,98.7,Cloudy skies throughout the day with rain,rain
NgheAn,2018-02-01,15.6,12.6,13.9,15.6,12.6,13.9,65.2,0,33.1,20.2,82.2,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-02-02,15.5,13.5,14.6,15.5,13.5,14.6,74.8,0.5,39.6,22.7,97.8,Cloudy skies throughout the day with rain in the morning and afternoon,rain
NgheAn,2018-02-03,14.9,13.2,13.9,14.9,13.2,13.9,62.6,0,36.4,20.5,94.1,Cloudy skies throughout the day,cloudy
NgheAn,2018-02-04,16.1,12,14.6,16.1,12,14.6,72,0,33.8,17.6,99.1,Cloudy skies throughout the day,cloudy
NgheAn,2018-02-05,15.7,12.3,14,15.7,12.3,14,63.7,0,41,23,88.3,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-02-06,16.3,12.1,13.7,16.3,12.1,13.7,64.7,0,29.5,16.9,74.5,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-02-07,18.3,11.5,15.1,18.3,11.5,15.1,70.4,0,29.5,17.3,59.9,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-02-08,18.2,13.7,15.5,18.2,13.7,15.5,64.1,0,24.1,14,78.6,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-02-09,21.7,12.1,16.9,21.7,12.1,16.9,84,0,24.8,13.3,59.5,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-02-10,21.5,16.2,18.5,21.5,16.2,18.5,93.7,0.5,27.4,14.8,83.4,Partly cloudy throughout the day with late afternoon rain,rain
NgheAn,2018-02-11,18.8,15.2,17,18.8,15.2,17,90,1.4,33.1,19.4,100,Cloudy skies throughout the day with rain,rain
NgheAn,2018-02-12,16.4,14.7,15.4,16.4,14.7,15.4,87.1,3,32.4,18.4,99,Cloudy skies throughout the day with rain,rain
NgheAn,2018-02-13,20.1,14.6,16.4,20.1,14.6,16.4,80.9,0,22.7,12.2,93.3,Cloudy skies throughout the day,cloudy
NgheAn,2018-02-14,22.6,13.2,18,22.6,13.2,18,89.4,0,29.2,16.6,50.1,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-02-15,21.7,15.9,19,21.7,15.9,19,94.7,0,23.8,12.2,70.1,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-02-16,22.7,17.4,19.7,22.7,17.4,19.7,96.8,0.3,25.2,13.3,98.5,Cloudy skies throughout the day with rain,rain
NgheAn,2018-02-17,22.8,19.1,20.6,22.8,19.1,20.6,92.8,0.1,24.5,12.2,80.2,Partly cloudy throughout the day with early morning rain,rain
NgheAn,2018-02-18,23.2,19.1,20.8,23.2,19.1,20.8,95,0.1,24.1,12.6,79.5,Partly cloudy throughout the day with afternoon rain,rain
NgheAn,2018-02-19,24.7,19.7,21.4,24.7,19.7,21.4,96.2,0,22.3,10.4,96.5,Cloudy skies throughout the day,cloudy
NgheAn,2018-02-20,25.2,19.7,22,25.2,19.7,22,96.3,0,25.9,14,92.3,Cloudy skies throughout the day,cloudy
NgheAn,2018-02-21,24.1,21,22.2,24.1,21,22.2,95.8,0,25.6,13.7,93.2,Cloudy skies throughout the day,cloudy
NgheAn,2018-02-22,22.1,17.1,20.1,22.1,17.1,20.1,96.2,24,36.7,20.2,98.6,Cloudy skies throughout the day with rain,rain
NgheAn,2018-02-23,17.9,15.5,16.5,17.9,15.5,16.5,87.9,5,33.8,20.2,98.3,Cloudy skies throughout the day with rain,rain
NgheAn,2018-02-24,19.9,16.2,18,19.9,16.2,18,89.2,0,22.3,11.5,91.5,Cloudy skies throughout the day,cloudy
NgheAn,2018-02-25,20.8,17.7,19.3,20.8,17.7,19.3,92.3,0.4,27.4,15.5,99.9,Cloudy skies throughout the day with rain in the morning and afternoon,rain
NgheAn,2018-02-26,20.5,18.1,19.4,20.5,18.1,19.4,92,1.2,27.7,15.1,100,Cloudy skies throughout the day with rain,rain
NgheAn,2018-02-27,22.7,18.1,20.3,22.7,18.1,20.3,92.4,0.1,20.9,9.7,90.8,Cloudy skies throughout the day with early morning rain,rain
NgheAn,2018-02-28,24.1,19.6,21.7,24.1,19.6,21.7,94.1,0.1,21.6,12.6,86,Partly cloudy throughout the day with morning rain,rain
NgheAn,2018-03-01,25.7,20.7,22.4,25.7,20.7,22.4,93.7,0,26.3,14.4,73.6,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-03-02,27.6,20.5,22.9,30.4,20.5,23,94.4,0,31,15.5,67.2,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-03-03,28.7,20.5,24.1,34.3,20.5,24.7,93.7,0.1,25.9,17.6,64.3,Partly cloudy throughout the day with morning rain,rain
NgheAn,2018-03-04,30.6,22,25.5,37.9,22,26.7,89,0,24.5,15.1,44.6,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-03-05,27.8,20.6,23.9,31.7,20.6,24.4,93,0,23.8,13.7,65.6,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-03-06,25.1,21.8,23.3,25.1,21.8,23.3,95.1,0.2,29.9,16.2,88.5,Partly cloudy throughout the day with rain in the morning and afternoon,rain
NgheAn,2018-03-07,27.7,23,24.5,30.7,23,24.7,92,0.6,30.6,17.6,75,Partly cloudy throughout the day with rain in the morning and afternoon,rain
NgheAn,2018-03-08,24.7,17.1,19.8,24.7,17.1,19.8,83.2,11,61.2,31.3,98.5,Cloudy skies throughout the day with rain in the morning and afternoon,rain
NgheAn,2018-03-09,19.1,14.7,17.8,19.1,14.7,17.8,73,0.1,33.5,18.7,80.1,Partly cloudy throughout the day with afternoon rain,rain
NgheAn,2018-03-10,21.8,13.6,18.3,21.8,13.6,18.3,76.6,0,28.1,14,60.1,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-03-11,21.4,17.7,19.8,21.4,17.7,19.8,82.2,0,20.5,10.8,94.3,Cloudy skies throughout the day,cloudy
NgheAn,2018-03-12,22.7,17.7,20.6,22.7,17.7,20.6,89.9,0.9,22.7,11.9,92.9,Cloudy skies throughout the day with a chance of rain throughout the day,rain
NgheAn,2018-03-13,23.6,18.7,21.5,23.6,18.7,21.5,89.9,0.1,31,17.3,72.6,Partly cloudy throughout the day with late afternoon rain,rain
NgheAn,2018-03-14,25.2,19.7,21.8,25.2,19.7,21.8,90.3,0.1,33.1,15.8,71.1,Partly cloudy throughout the day with morning rain,rain
NgheAn,2018-03-15,25.4,19.1,22.5,25.4,19.1,22.5,91.2,0.2,23.8,14.8,72.3,Partly cloudy throughout the day with rain in the morning and afternoon,rain
NgheAn,2018-03-16,25.7,21.6,23.1,25.7,21.6,23.1,92.3,0,29.9,16.2,73.9,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-03-17,27.2,22.2,24.2,29.7,22.2,24.3,92.1,0.2,29.5,16.6,77.8,Partly cloudy throughout the day with rain in the morning and afternoon,rain
NgheAn,2018-03-18,26.7,22.8,24.5,26.7,22.8,24.5,91.8,0,29.9,17.3,77.5,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-03-19,27.6,22,24.3,31,22,24.7,93.7,0,24.8,12.6,79.3,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-03-20,23.8,19.2,21.4,23.8,19.2,21.4,83.3,7,44.6,27.7,73.1,Partly cloudy throughout the day with morning rain,rain
NgheAn,2018-03-21,21.7,18.2,19.5,21.7,18.2,19.5,81.5,0.4,41.4,23,52.2,Partly cloudy throughout the day with morning rain,rain
NgheAn,2018-03-22,22.6,17.6,19.7,22.6,17.6,19.7,78.6,0.1,29.9,14.8,42.1,Partly cloudy throughout the day with morning rain,rain
NgheAn,2018-03-23,23.7,17.1,20.2,23.7,17.1,20.2,83.8,0,26.3,13.3,71.7,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-03-24,23.8,18.7,21.3,23.8,18.7,21.3,89.3,0.1,26.6,12.6,81.4,Partly cloudy throughout the day with morning rain,rain
NgheAn,2018-03-25,25.6,20.8,22.7,25.6,20.8,22.7,91.6,0.4,23,11.9,68.4,Partly cloudy throughout the day with morning rain,rain
NgheAn,2018-03-26,25.8,21.2,22.8,25.8,21.2,22.8,90.2,0.4,25.6,14.2,63.8,Partly cloudy throughout the day with rain clearing later.,rain
NgheAn,2018-03-27,25.3,20.6,22.5,25.3,20.6,22.5,90,1,22.3,11.5,63.5,Partly cloudy throughout the day with a chance of rain throughout the day,rain
NgheAn,2018-03-28,26.1,20.1,23.4,26.1,20.1,23.4,87.4,0.4,32,16.9,67.9,Partly cloudy throughout the day with morning rain,rain
NgheAn,2018-03-29,26.4,22.5,24,26.4,22.5,24,88,0,28.8,15.8,72.1,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-03-30,26.4,22.9,24.2,26.4,22.9,24.2,91.2,0.4,26.3,13,86,Partly cloudy throughout the day with rain in the morning and afternoon,rain
NgheAn,2018-03-31,27.1,22,23.9,29.1,22,24,90.2,0.8,26.6,14.8,86.6,Partly cloudy throughout the day with rain in the morning and afternoon,rain
NgheAn,2018-04-01,27.3,21.6,23.9,29.3,21.6,24,87,0.1,28.8,16.2,77.3,Partly cloudy throughout the day with afternoon rain,rain
NgheAn,2018-04-02,27.4,21.1,23.9,29.3,21.1,24,85.6,0,34.2,18.7,70.4,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-04-03,27.4,20.9,24.3,29,20.9,24.6,84.1,0,33.8,17.3,78,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-04-04,27.2,21.6,24.2,29,21.6,24.3,84.2,0,30.2,16.2,66.5,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-04-05,27.7,22.7,24.8,29.8,22.7,25.2,85.4,0,30.6,17.3,70.5,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-04-06,26.5,17.1,22.6,26.5,17.1,22.6,90.7,0.1,69.5,33.8,98.3,Cloudy skies throughout the day with afternoon rain,rain
NgheAn,2018-04-07,19.2,15.5,17.4,19.2,15.5,17.4,79.2,9,47.9,27.7,100,Cloudy skies throughout the day with rain,rain
NgheAn,2018-04-08,22.6,16.2,19.6,22.6,16.2,19.6,66,0,23.8,13.3,93.1,Cloudy skies throughout the day,cloudy
NgheAn,2018-04-09,25.2,16.2,21.1,25.2,16.2,21.1,80.2,0,27,15.5,61.5,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-04-10,26.3,19.2,22.9,26.3,19.2,22.9,87.7,0,31.7,17.3,51.9,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-04-11,27.1,21.4,24.2,29.9,21.4,24.4,92.2,0,27.4,15.5,57.3,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-04-12,29.7,21.7,25.8,36.3,21.7,27.9,92.2,0,26.6,18,69.6,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-04-13,32.2,23.7,27.3,40.7,23.7,30.8,87.8,0,32.4,19.4,46,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-04-14,30.4,24.9,27.1,38.4,24.9,30,89.9,1.3,39.6,18.7,53.6,Partly cloudy throughout the day with late afternoon rain,rain
NgheAn,2018-04-15,26.4,21.3,23.3,26.4,21.3,23.3,88.7,4,47.9,26.6,99.1,Cloudy skies throughout the day with rain,rain
NgheAn,2018-04-16,23.6,20.1,22.4,23.6,20.1,22.4,84.4,0.2,38.5,21.6,98.4,Cloudy skies throughout the day with early morning rain,rain
NgheAn,2018-04-17,23.4,19.9,22,23.4,19.9,22,81.6,3.2,27,14.4,83.4,Partly cloudy throughout the day with morning rain,rain
NgheAn,2018-04-18,25.9,18.5,22.8,25.9,18.5,22.8,78.5,0,22.7,13.3,48.2,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-04-19,27.6,20.1,23.7,28.7,20.1,23.8,82.8,0,26.6,13,48.6,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-04-20,28.6,22.4,25.3,32.1,22.4,26,88.7,0.2,26.3,15.8,68.5,Partly cloudy throughout the day with rain clearing later.,rain
NgheAn,2018-04-21,30.3,24.3,26.2,36.7,24.3,27.3,90.6,0,29.2,16.2,61.3,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-04-22,30.7,24.6,27,38.4,24.6,30.2,90.4,0,32.4,19.1,49.9,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-04-23,32.7,24.9,28.2,42.9,24.9,32.8,87.8,0,31,16.9,44,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-04-24,30.2,25.9,27.1,37.5,25.9,29.6,92.3,0.9,31.7,15.5,79.4,Partly cloudy throughout the day with late afternoon rain,rain
NgheAn,2018-04-25,29.8,24.6,25.9,36.7,24.6,26.4,89.7,8,36.4,15.8,97.9,Cloudy skies throughout the day with rain,rain
NgheAn,2018-04-26,27.9,24.1,26.1,31.8,24.1,27.1,88.1,0.2,32.8,15.1,86.6,Partly cloudy throughout the day with early morning rain,rain
NgheAn,2018-04-27,27,24.2,25.5,30.1,24.2,25.7,90.4,0.1,29.5,15.1,90.9,Cloudy skies throughout the day with late afternoon rain,rain
NgheAn,2018-04-28,28,23.7,25.4,32.4,23.7,25.6,89.2,0.3,23,11.2,96.9,Cloudy skies throughout the day with a chance of rain throughout the day,rain
NgheAn,2018-04-29,27.7,24.2,25.7,31.5,24.2,26.3,90.5,4.1,24.1,14,91.5,Cloudy skies throughout the day with rain,rain
NgheAn,2018-04-30,29.2,24.1,26.6,35,24.1,28.5,89.8,0.9,22.7,13,80.2,Partly cloudy throughout the day with rain,rain
NgheAn,2018-05-01,32.7,25.3,28.5,41.3,25.3,32.6,85,0.2,18.4,10.1,78.5,Partly cloudy throughout the day with rain,rain
NgheAn,2018-05-02,31.6,26.7,28.4,40.5,26.7,34,86.7,2.8,22.7,11.2,91.8,Cloudy skies throughout the day with rain,rain
NgheAn,2018-05-03,29,25.1,26.9,33.7,25.1,29,87.9,6,27.7,14.8,87.3,Partly cloudy throughout the day with morning rain,rain
NgheAn,2018-05-04,30.2,25.7,27.8,36.8,25.7,31,84.4,0.4,30.6,16.2,80.6,Partly cloudy throughout the day with morning rain,rain
NgheAn,2018-05-05,30.9,26.1,28,38,26.1,32.2,86.6,9,29.5,17.6,85.2,Partly cloudy throughout the day with late afternoon rain,rain
NgheAn,2018-05-06,34.1,25.2,29.4,42.9,25.2,35.3,81.5,0.2,31.3,17.6,60.3,Partly cloudy throughout the day with morning rain,rain
NgheAn,2018-05-07,37.2,27.2,31.5,43.5,31,37.5,68.6,0,31.3,16.9,56.6,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-05-08,36.7,27.2,31.2,44.1,30,38,72.2,0,28.4,15.8,58,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-05-09,33.5,28,30.3,46.2,33.3,39.2,83.4,1.6,26.6,11.9,54.3,Partly cloudy throughout the day with late afternoon rain,rain
NgheAn,2018-05-10,31.7,26.5,28.6,41,26.5,34.1,84.5,6.8,36,15.5,96.1,Cloudy skies throughout the day with rain,rain
NgheAn,2018-05-11,32.8,25.6,29.2,41.7,25.6,35.1,83.2,0.1,27.4,16.2,80.7,Partly cloudy throughout the day with afternoon rain,rain
NgheAn,2018-05-12,32.5,24.6,28.5,40.3,24.6,33.2,83.8,4.6,25.9,14,80.6,Partly cloudy throughout the day with rain,rain
NgheAn,2018-05-13,32.2,25.1,28.9,40.6,25.1,34.6,83.4,0.4,22.7,12.2,68.5,Partly cloudy throughout the day with late afternoon rain,rain
NgheAn,2018-05-14,32.1,25.6,28.7,41.5,25.6,34.1,85.2,2.3,25.2,18,62.1,Partly cloudy throughout the day with late afternoon rain,rain
NgheAn,2018-05-15,34.2,25.1,29.5,42.9,25.1,34.7,79.8,0,30.2,15.8,65.6,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-05-16,35.1,26.7,30,43.1,26.7,36,78.4,0,27.4,16.9,63.1,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-05-17,37,27.3,30.8,43.8,31.8,37.5,74.8,0,25.9,13.3,79.8,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-05-18,34.7,27.3,30.1,43.4,31.6,36.3,76.1,0.6,28.1,10.8,82.1,Partly cloudy throughout the day with late afternoon rain,rain
NgheAn,2018-05-19,34,26,29.6,42.6,26,34.7,77.7,0,29.2,15.1,81.7,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-05-20,33.8,26.1,29.8,42.6,26.1,36.5,80.2,0,29.9,18.4,92.4,Cloudy skies throughout the day,cloudy
NgheAn,2018-05-21,34.3,26.2,29.9,43.2,26.2,36.4,78.4,0,32,16.2,58.6,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-05-22,32.9,25.7,29.4,41.9,25.7,35.3,80.8,0,32.4,17.6,37.7,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-05-23,32.8,26.7,29.6,42.6,26.7,35.4,80.1,0,31.7,16.6,48,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-05-24,33.8,25.1,29.7,41.4,25.1,35.3,78.7,0.3,33.5,15.5,72.1,Partly cloudy throughout the day with afternoon rain,rain
NgheAn,2018-05-25,36.5,26.6,31.4,41.2,26.6,36.2,66.3,0,33.8,18,65.3,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-05-26,36.1,28,31.6,42.2,32.7,36.9,64.9,0,31.7,14.8,49.9,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-05-27,35.7,28.6,31.5,42,32.7,36.9,64.8,2.9,31.3,15.1,80.1,Partly cloudy throughout the day with rain,rain
NgheAn,2018-05-28,31,27,28.6,37.5,30.5,33.3,80.8,3.4,32.4,14.8,96.6,Cloudy skies throughout the day with rain clearing later.,rain
NgheAn,2018-05-29,33.2,27.2,29.6,40.6,30.7,35.6,78.9,1.7,22.3,14.8,97.2,Cloudy skies throughout the day with rain clearing later.,rain
NgheAn,2018-05-30,34.3,26.7,30.4,40.9,26.7,36.4,74.5,0,30.2,17.6,91.8,Cloudy skies throughout the day,cloudy
NgheAn,2018-05-31,33.9,27.2,30.7,44.2,31.6,37.9,76.6,0.2,26.3,11.2,95.2,Cloudy skies throughout the day with early morning rain,rain
NgheAn,2018-06-01,35.8,27.2,31.3,44.1,31.3,39.2,74.8,0,27.7,11.2,69.6,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-06-02,33.5,27.1,30.3,42.6,30.5,37.4,77.9,1.3,37.1,18.4,78.7,Partly cloudy throughout the day with a chance of rain throughout the day,rain
NgheAn,2018-06-03,33.2,27.6,30.5,40.2,33.2,37.4,76,0.6,32.4,15.5,88.1,Partly cloudy throughout the day with a chance of rain throughout the day,rain
NgheAn,2018-06-04,34.1,28.1,30.1,43,33.4,37.2,78.7,5,36.7,18,92.5,Cloudy skies throughout the day with a chance of rain throughout the day,rain
NgheAn,2018-06-05,30.7,26.3,28.1,36.9,26.3,32.5,83.3,13,37.1,18.7,98.7,Cloudy skies throughout the day with rain in the morning and afternoon,rain
NgheAn,2018-06-06,35.2,26.7,30.8,42.3,26.7,36.7,72.5,3.3,24.8,11.2,95.9,Cloudy skies throughout the day with rain,rain
NgheAn,2018-06-07,35.1,27.6,31.1,44.8,32.8,39.1,75.8,3,23.4,10.8,84.6,Partly cloudy throughout the day with rain clearing later.,rain
NgheAn,2018-06-08,36.2,28,32,42.9,34.1,39.7,70.5,0,24.8,11.5,85,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-06-09,36.6,28.2,32,43.5,34.2,38.7,67.2,1,32.4,14.4,77.5,Partly cloudy throughout the day with morning rain,rain
NgheAn,2018-06-10,35.2,27.1,31.4,41.5,30.9,36.9,66.3,0.1,29.2,18,97.8,Cloudy skies throughout the day with early morning rain,rain
NgheAn,2018-06-11,34.8,29.8,32.3,41.4,34.8,37.7,61,0,37.4,20.5,96.5,Cloudy skies throughout the day,cloudy
NgheAn,2018-06-12,35.7,28.1,31.7,40.5,34.6,36.8,62.8,0.4,49,23.8,97,Cloudy skies throughout the day with morning rain,rain
NgheAn,2018-06-13,34.6,28.6,32.1,39.9,33.9,37.4,61.2,0,52.6,21.6,95.3,Cloudy skies throughout the day,cloudy
NgheAn,2018-06-14,37,30.3,32.6,43.2,35.5,38.2,60.5,0,47.9,23,94,Cloudy skies throughout the day,cloudy
NgheAn,2018-06-15,36.2,28.7,31.6,44.9,32.9,37.7,66.6,2.2,40.7,16.9,97.1,Cloudy skies throughout the day with late afternoon rain,rain
NgheAn,2018-06-16,31.4,26.7,29.4,40.3,26.7,36.3,83.1,6.1,32.4,14.4,97.7,Cloudy skies throughout the day with a chance of rain throughout the day,rain
NgheAn,2018-06-17,31.7,27.2,29.6,41,31.8,37.1,84.1,51,31,11.2,96.3,Cloudy skies throughout the day with early morning rain,rain
NgheAn,2018-06-18,35.6,27.2,31.5,43.7,31.5,39,72.4,0,27.4,11.2,84.3,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-06-19,37.1,28.7,32.5,44.7,33.5,39.1,64.2,0.2,28.8,14.4,75.8,Partly cloudy throughout the day with afternoon rain,rain
NgheAn,2018-06-20,36.6,28.9,32.7,42.7,33.5,39,62.5,0,29.9,15.8,93.3,Cloudy skies throughout the day,cloudy
NgheAn,2018-06-21,37.6,29.2,32.6,43.2,34.9,38.4,61.5,0,34.9,17.3,96,Cloudy skies throughout the day,cloudy
NgheAn,2018-06-22,37.3,29.4,32.9,42.1,33.8,37.4,55.9,0,41,22,96.7,Cloudy skies throughout the day,cloudy
NgheAn,2018-06-23,36.9,30.3,33,41.7,34.4,37.6,54.8,0,37.8,21.2,97.4,Cloudy skies throughout the day,cloudy
NgheAn,2018-06-24,34.8,28.7,31.3,40.2,33.8,36.6,64.9,0,33.5,18.4,97.9,Cloudy skies throughout the day,cloudy
NgheAn,2018-06-25,34,26.6,30.1,38.3,26.6,34.6,70.1,3.1,37.8,13.7,97.5,Cloudy skies throughout the day with rain in the morning and afternoon,rain
NgheAn,2018-06-26,33.7,27.6,30,37.7,31.6,34.6,69.3,0.6,20.9,13,97,Cloudy skies throughout the day with rain in the morning and afternoon,rain
NgheAn,2018-06-27,33,28,29.8,37,31.7,34,69.6,0,28.1,12.2,98.9,Cloudy skies throughout the day,cloudy
NgheAn,2018-06-28,35.4,24.7,30.5,39.8,24.7,35,68.7,0.6,31.7,12.2,66.5,Partly cloudy throughout the day with morning rain,rain
NgheAn,2018-06-29,37.4,28.4,32.4,41.9,31.7,36.2,56,0,41.8,25.2,80.6,Partly cloudy throughout the day,partly_cloudy_day
NgheAn,2018-06-30,39.3,28.5,33.6,42.8,32.7,37.7,52.3,0.1,41,22,57.3,Partly cloudy throughout the day with afternoon rain,rain
